name,price,old price,sale,url,image,fullDescription,productInformation,rating
Mintra Big Round Bowl - 1.8L – Burgundy,EGP 30.95,EGP 32.00,3%,https://www.jumia.com.eg/mintra-big-round-bowl-1.8l-burgundy-37558490.html,https://eg.jumia.is/unsafe/fit-in/500x500/filters:fill(white)/product/09/485573/1.jpg?0770,Brand: Mintra Material: Plastic Item Type: Unbreakable bowl Volume: 1.8 L Color: burgundy,SKU: MI869HL05NB45NAFAMZ Model: 6221236084488 Color: N/A Main Material: N/A,5 out of 5 (1 verified rating)
"Glass Pyrex Coffee Mug,Clear",EGP 26.99,EGP 50.00,46%,https://www.jumia.com.eg/generic-glass-pyrex-coffee-mugclear-24990292.html,https://eg.jumia.is/unsafe/fit-in/500x500/filters:fill(white)/product/29/209942/1.jpg?1944,Dishwasher proof : Yes Microwave Proof : No Material : Pyrex Type : Coffee Mugs,SKU: GE810HA0HE2JANAFAMZ Model: n/a Main Material: .,2.3 out of 5 (3 verified ratings)
Mintra Large Plastic Pitcher – Orange,EGP 36.00,EGP 38.00,5%,https://www.jumia.com.eg/mintra-largeplastic-pitcher-orange-37558542.html,https://eg.jumia.is/unsafe/fit-in/500x500/filters:fill(white)/product/24/585573/1.jpg?0797,Brand: Mintra Material: Plastic Item Type: pitcher Volume:1.4 L. Color: orange,SKU: MI869HL0EMYCLNAFAMZ Model: 6221236083702 Color: N/A Main Material: N/A,0 out of 5 (No ratings available)
Bags To Cover Food In The Refrigerator And Outside 10 Pieces,EGP 15.00,EGP 90.00,83%,https://www.jumia.com.eg/generic-bags-to-cover-food-in-the-refrigerator-and-outside-10-pieces-35489728.html,https://eg.jumia.is/unsafe/fit-in/500x500/filters:fill(white)/product/82/798453/1.jpg?9588,"Bags to cover food in the refrigerator, and outside  pieces   To keep food, vegetables and fruits fresh, whether inside the refrigerator    Outside, it protects food from dust or insects in the summer   The material is transparent plastic   Surrounded by a tight elastic that expands to cover multiple sizes, up to a size of 26 cm   It can be washed and reused if desired Very practical and easy to use","SKU: GE810HA1DANP1NAFAMZ Model: N/A Production Country: China, Egypt Color: color may vary Shop Type: Jumia Mall",4 out of 5 (2 verified ratings)
Mintra Big Round Bowl - 1.8L – Orange,EGP 24.00,EGP 32.00,25%,https://www.jumia.com.eg/mintra-big-round-bowl-1.8l-orange-37558492.html,https://eg.jumia.is/unsafe/fit-in/500x500/filters:fill(white)/product/29/485573/1.jpg?0805,Brand: Mintra Material: Plastic Item Type: Unbreakable bowl Volume: 1.8 L Color: orange,SKU: MI869HL0HJZ7PNAFAMZ Model: 6221236084495 Color: N/A Main Material: N/A,0 out of 5 (No ratings available)
"2 Stainless Steel Spice Jars With Rotating Lid, With Different Hole Sizes",EGP 39.99,EGP 65.00,38%,https://www.jumia.com.eg/2-stainless-steel-spice-jars-with-rotating-lid-with-different-hole-sizes-generic-mpg814326.html,https://eg.jumia.is/unsafe/fit-in/500x500/filters:fill(white)/product/15/038412/1.jpg?5704,"Made from high quality stainless steel materials Unique design of rotary multihole structure allow you select 3 sizes selector on top of the shaker to dispense different grinds of seasonings You can rotate it to be in full close when not in use to retain freshness of seasoning,convenient and practical Nordic fashion appearance design,clean stainless steel bottle body, fashion and practical, suitable for all kinds of powder,granular condiment for storage. Healthy material for spices",SKU: GE810HL08YBPONAFAMZ Model: 102 Production Country: China Color: silver Main Material: stainless steel,4.2 out of 5 (24 verified ratings)
Silicone Hot Pot Holder - 1 Pcs,EGP 22.00,EGP 90.00,76%,https://www.jumia.com.eg/generic-silicone-hot-pot-holder-1-pcs-32765529.html,https://eg.jumia.is/unsafe/fit-in/500x500/filters:fill(white)/product/92/556723/1.jpg?6142,"Hand-silicone dielectric and heat resistant Moulded From High-Grade Material To Avoid Chipping Even Through Prolonged Usage Exudes An Exquisite Craftsmanship That Manifests An Accentuating Show Fade-Proof Construction Resists Catching Stains, Facilitating Easy Cleaning","SKU: GE810FD1J3T83NAFAMZ Model: N/A Production Country: China, Egypt Color: color may vary Shop Type: Jumia Mall",2.3 out of 5 (3 verified ratings)
Mintra Unbreakable Plastic Rectangular Tray – Turquoise,EGP 47.00,EGP 70.00,33%,https://www.jumia.com.eg/mintra-unbreakable-plastic-rectangular-tray-turquoise-37558498.html,https://eg.jumia.is/unsafe/fit-in/500x500/filters:fill(white)/product/89/485573/1.jpg?0922,Brand: Mintra Material: Plastic Item Type: Unbreakable tray Volume: 36x28. Color: turquoise,SKU: MI869HL1H9ZIDNAFAMZ Model: 6221236093459 Color: N/A Main Material: N/A,0 out of 5 (No ratings available)
Mintra Small Round Bowl - 250 ML – Burgundy,EGP 7.49,EGP 12.00,38%,https://www.jumia.com.eg/mintra-small-round-bowl-250-ml-burgundy-37558271.html,https://eg.jumia.is/unsafe/fit-in/500x500/filters:fill(white)/product/17/285573/1.jpg?0784,Brand: Mintra Material: Plastic Item Type: Unbreakable bowl Volume: 250 ml. Color: burgundy,SKU: MI869HL0AAHMTNAFAMZ Model: 6221236084686 Color: N/A Main Material: N/A,0 out of 5 (No ratings available)
Mintra Unbreakable Oval Tray - 1250 ml – Watermelon,EGP 28.45,EGP 32.00,11%,https://www.jumia.com.eg/mintra-unbreakable-oval-tray-1250-ml-watermelon-37558515.html,https://eg.jumia.is/unsafe/fit-in/500x500/filters:fill(white)/product/51/585573/1.jpg?0850,Brand: Mintra Material: Safe and Hygienic No.5 Polypropylene Plastic Product Type: unbreakable oval tray Color: watermelon Capacity:1250ml,SKU: MI869HL0UPNOLNAFAMZ Model: 6221236082729 Color: N/A Main Material: N/A,0 out of 5 (No ratings available)
